lr-SGD/pg1,lr-SGD/pg2,step,val_loss,val_acc,epoch,scale0,scale1,scale2,scale3,l1_reg,scale_reg,loss,train_acc
0.0001,0.001,7326,,,,,,,,,,,
,,7399,0.052954185754060745,0.9271523356437683,99,,,,,,,,
,,7399,,,99,1.8488258123397827,0.39114871621131897,2.0225846767425537,1.098707914352417,0.0,1.3597151041030884,0.023106416687369347,0.9662162065505981
0.0001,0.001,7400,,,,,,,,,,,
,,7473,0.05545032396912575,0.9337748289108276,100,,,,,,,,
,,7473,,,100,1.8313013315200806,0.39703428745269775,2.010866641998291,1.088802695274353,0.0,1.353253960609436,0.04257850721478462,0.9324324131011963
0.0001,0.001,7474,,,,,,,,,,,
,,7547,0.06824848800897598,0.9072847962379456,101,,,,,,,,
,,7547,,,101,1.8336783647537231,0.3992338478565216,2.0184364318847656,1.0768789052963257,0.0,1.354130506515503,0.03957017511129379,0.9391891956329346
0.0001,0.001,7548,,,,,,,,,,,
,,7621,0.06363540142774582,0.9072847962379456,102,,,,,,,,
,,7621,,,102,1.8445923328399658,0.3992865979671478,2.0343117713928223,1.0624390840530396,0.0,1.3581572771072388,0.02960047870874405,0.9695945978164673
0.0001,0.001,7622,,,,,,,,,,,
,,7695,0.04940979555249214,0.9470198750495911,103,,,,,,,,
,,7695,,,103,1.8522610664367676,0.3900003433227539,2.0349795818328857,1.0965036153793335,0.0,1.3609737157821655,0.03213752806186676,0.9527027010917664
0.0001,0.001,7696,,,,,,,,,,,
,,7769,0.049573156982660294,0.9271523356437683,104,,,,,,,,
